[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.000) SELECT VERSION(); args=None
[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[01/Jul/2018 23:58:00] DEBUG [django.db.backends:111] (0.016) SELECT `auth_group`.`id`, `auth_group`.`name` FROM `auth_group` WHERE `auth_group`.`name` = 'mentor'; args=('mentor',)
[01/Jul/2018 23:58:01] DEBUG [django.db.backends:111] (0.095) SHOW FULL TABLES; args=None
[01/Jul/2018 23:58:01] DEBUG [django.db.backends:111] (0.016) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.004) SELECT @@sql_mode; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SELECT VERSION(); args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SELECT `auth_group`.`id`, `auth_group`.`name` FROM `auth_group` WHERE `auth_group`.`name` = 'mentor'; args=('mentor',)
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.016) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.000) SHOW FULL TABLES; args=None
[01/Jul/2018 23:59:05] DEBUG [django.db.backends.schema:124] CREATE TABLE `QA_answer` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `answertext` longtext NOT NULL, `pub_date` datetime(6) NOT NULL, `updated` datetime(6) NOT NULL, `answer` bool NOT NULL, `upvote` integer NOT NULL, `downvote` integer NOT NULL, `total_points` integer NOT NULL); (params None)
[01/Jul/2018 23:59:05] DEBUG [django.db.backends:111] (0.625) CREATE TABLE `QA_answer` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `answertext` longtext NOT NULL, `pub_date` datetime(6) NOT NULL, `updated` datetime(6) NOT NULL, `answer` bool NOT NULL, `upvote` integer NOT NULL, `downvote` integer NOT NULL, `total_points` integer NOT NULL); args=None
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.150) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.016) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.016) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_answer'; args=['QA_answer']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends.schema:124] CREATE TABLE `QA_question` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(200) NOT NULL, `description` longtext NULL, `pub_date` datetime(6) NOT NULL, `closed` bool NOT NULL, `upvote` integer NOT NULL, `downvote` integer NOT NULL, `slug` varchar(200) NOT NULL UNIQUE, `user_id` integer NULL); (params None)
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.212) CREATE TABLE `QA_question` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(200) NOT NULL, `description` longtext NULL, `pub_date` datetime(6) NOT NULL, `closed` bool NOT NULL, `upvote` integer NOT NULL, `downvote` integer NOT NULL, `slug` varchar(200) NOT NULL UNIQUE, `user_id` integer NULL); args=None
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.016) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.016) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends:111] (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'QA_question'; args=['QA_question']
[01/Jul/2018 23:59:06] DEBUG [django.db.backends.schema:124] CREATE TABLE `QA_question_related` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `question_id` integer NOT NULL, `languages_id` integer NOT NULL); (params None)
